1054066161913073664	"Inondations dans l'Aude:dégâts ""de l'ordre de 200 millions d'euros"", annonce Le Maire.Pauvre gens brisés dans leur vie! ASSURANCES à vos caisses vous qui êtes si riches!Réduisez le profit de vos actionnaires de la Haute Finance !VOTRE DEVOIR"""	Aude	NA	Message-Utilisable	Message-InfoUrgent	Degats-Materiels
926730954118500352	Département Hérault en vigilance Jaune pluie ️ inondation Les 8 bons comportements en cas de pluies #méditerranéennes intenses @SDIS34	Autre	NA	Message-Utilisable	Message-InfoUrgent	Avertissement-conseil
1054363261020311552	[#CodesCourtage] Inondations tragiques dans l’Aude #france #aude #inondation	Aude	NA	Message-Utilisable	Message-InfoUrgent	Avertissement-conseil
958705422491377664	Merci à @FDSEA77 pour ces photos prises par #drones qui montrent le niveau des crues mais aussi combien l'inondation des champs participe à la protection des villes!	Autre	NA	Message-Utilisable	Message-InfoNonUrgent	AutresMessages
801457219313238016	"[️ALERTE MÉTÉO⚠️] Vigilance #orange ""orages, pluie-inondation"" et #jaune ""vagues-submersion"". Soyez prudents"	Autre	NA	Message-Utilisable	Message-InfoUrgent	Avertissement-conseil
516655815395377152	“@asdjeruf: PTDR  LES GENS DE MONTPELLIER  QUAND IL Y A UNE INONDATION  😂😂😂😂	Autre	NA	Message-NonUtilisable	Message-NonUtilisable	Message-NonUtilisable
262918212159692800	Inondation à Brooklyn ce matin et le plus fort de l'ouragan n'est qu'à 16h! #Sandy  (via @greenpainting)	Autre	NA	Message-NonUtilisable	Message-NonUtilisable	Message-NonUtilisable
786591021303992320	Alerte rouge pluie - inondation le #SDIS 34 mobilise plus de 350 pompiers, des unités de sauveteurs aquatique et des groupes inondations	Autre	NA	Message-Utilisable	Message-InfoUrgent	Avertissement-conseil
1051876062882336768	La décrue de l'#Aude commence à révéler un patrimoine endommagé par les #inondations11. Ici, la station d'épuration de Villegailhenc ne déroge pas à la violence dont ce territoire a été victime aujourd'hui. Toutes nos pensées vont aux sinistrés en cette fin de journée.	Aude	NA	Message-Utilisable	Message-InfoNonUrgent	Soutiens
534025589708308480	Mauvaise nouvelle les amis, on a une inondation au bar. Le bar est malheureusement fermé ce soir, sorry ! :(	Autre	NA	Message-Utilisable	Message-InfoUrgent	Degats-Materiels
738129799974137856	Minuit à Nemours, scène surréaliste : bateaux, canoës emmènent habitants prendre des affaires chez eux #inondation	Autre	NA	Message-Utilisable	Message-InfoNonUrgent	AutresMessages
98419834483785728	#Martinique : l'homme de 62 ans est mort électrocuté suite à l'inondation de son domicile. #Emily	Autre	NA	Message-Utilisable	Message-InfoUrgent	Degats-Humains
356089216477839360	En cas d'inondation d'argent liquide, j'ai toujours chez moi une pompe à fric, on ne sait jamais.	Autre	NA	Message-NonUtilisable	Message-NonUtilisable	Message-NonUtilisable
978362276288892928	#Castaner :«258 adultes Français sont en Syrie et susceptibles de revenir. Il vaut mieux les accueillir, les suivre, les emprisonner lorsque des actes criminels ont été commis, pour faire en sorte que l'on puisse identifier le risque.» Ce gvt joue avec la vie des Français ! #Aude	Aude	NA	Message-NonUtilisable	Message-NonUtilisable	Message-NonUtilisable
432397118867648512	Neige, inondation, tempête ... Le climat devient fou  Japon: La neige fait 5 morts et plus de 600 blessés -	Autre	NA	Message-NonUtilisable	Message-NonUtilisable	Message-NonUtilisable
976053363967176704	La Corse placée en vigilance jaune orages, neige-verglas, pluie-inondation -	Autre	NA	Message-Utilisable	Message-InfoUrgent	Avertissement-conseil
631030189783412736	Une canalisation d'eau a explosé ce matin, rue Nationale à #Lille #inondation	Autre	NA	Message-Utilisable	Message-InfoUrgent	Degats-Materiels
1054443231532990464	Ah purée, j’ai pensé la même chose ! Le mec il a un avis sur la violence dans l’école, les inondations, la culture des patates douces c’est insupportable de le voir tout le temps !	Aude	NA	Message-NonUtilisable	Message-NonUtilisable	Message-NonUtilisable
861271347498016768	Équation climat dans le Monde: Comme on a déjà vu à #Kinshasa #Congo, #Libreville, la ville de #Montréal croule sous une forte inondation.	Autre	NA	Message-NonUtilisable	Message-NonUtilisable	Message-NonUtilisable
111954051490521088	Fortes pluies sur plusieurs communes du département de l'Ouest. Début d'inondation à Carriès (Arcahaie).	Autre	NA	Message-Utilisable	Message-InfoUrgent	Avertissement-conseil
1054130453102387200	⬇️   INCROYABLE ❗    Des flots de boues dû aux inondations qui traversent un village d'habitations  Cela se passe dans la province de Malaga en Espagne  pic.twitter.com/NFVd6MjvfL	Aude	NA	Message-NonUtilisable	Message-NonUtilisable	Message-NonUtilisable
1051878767461892096	#ALaUne de La Croix :  ▶   L'Aude meurtrie : les fortes pluies ont causé la mort d'au moins 10 personnes ▶   Au Niger, le défi du développement rural  pic.twitter.com/kqemFgNyOu	Aude	NA	Message-Utilisable	Message-InfoUrgent	Degats-Humains
1054231492220596224	Macron se rend dans l'Aude, une semaine après les inondations meurtrières  ➡    https://yhoo.it/2J9hrdM  pic.twitter.com/Tnsk2FE4tR	Aude	NA	Message-NonUtilisable	Message-NonUtilisable	Message-NonUtilisable
